id,School_Name,Ship_Address_Line_1,Ship_Address_Line_2,locality,Mail_Zip,Overall_Accountability_Rating,Overall_Accountability_Score,School_Enrollment,SchoolLevel,SWD,ED,LEP,Lowest_Grade_in_the_School,Highest_Grade_in_the_School,School_Student_Achievement_Score,School_ELA_Achievement_Score,School_Mathematics_Achievement_Score,School_Student_Growth_Score,School_ELA_Growth_Score,School_Mathematics_Growth_Score,School_Closing_Gaps_Score,School_ELA_Gap_Score,School_Mathematics_Gap_Score,School_Graduation_Gap_Score,School_On-Track_and_Postsecondary_Readiness_Score,School_Graduation_Rate_Score,School_Attendance_Rate_Score,School_Third-Grade_ELA_Achievement_Score,School_Eighth-Grade_Mathematics_Achievement_Score,Agency_type,Charter_school_indicator,Charter_Type,District_or_Authorizer,Enrollment_type,Enrollment_detail
3619-204,Wedgewood Park School,6506 W Warnimont Ave,Milwaukee WI  53220-1344,Milwaukee,53220,Meets Expectations,66.2,922,Middle School,15,74.9,14.2,6,8,52.7,29.6,23.1,61.3,34,27.3,61,32.2,28.8,,82.9,,73.5,,9.4,Public school,No,,,District,District
NA-1627,Wells Street Academy,2020 West Wells,"Milwaukee, WI 53233",Milwaukee,53233,Not Rated*,,15,Elementary/Secondary School,0,86.7,0,K4,12,,,,,,,,,,,,,,,,Private school,No,,,Private,Private
6300-490,West Allis-West Milwaukee Learning Center,1135 S 70th St,West Allis WI  53214,West Allis,53214,Alternate Rating - Satisfactory Progress,AR,170,High School,12.9,69.4,0.6,9,12,,,,,,,,,,,,,,,,Public school,No,,,District,District
6244-280,West High,11400 W Center St,Wauwatosa WI  53222-4213,Wauwatosa,53222,Exceeds Expectations,73.4,1071,High School,8.7,28.1,1.4,9,12,69.8,35.3,34.5,,,,65.6,12.3,15.6,37.7,96.3,96.3,,,,Public school,No,,,District,District
6300-120,West Milwaukee Intermediate,5104 W Greenfield Ave,West Milwaukee WI  53214-5341,West Milwaukee,53214,Meets Few Expectations,61.3,367,Middle School,18.3,77.9,7.4,6,8,41.5,22.9,18.6,60.4,26.4,34,47.6,25.5,22.1,,80.5,,73,,7.5,Public school,No,,,District,District
3619-130,Westside Academy,1940 N 36th St,Milwaukee WI  53208-1927,Milwaukee,53208,Fails to Meet Expectations,48.3,375,Elementary School,17.6,97.9,0.3,K3,8,15.2,8.5,6.7,36.6,19.7,16.9,70.2,32.6,37.6,,74.2,,71.5,1.6,1.1,Public school,No,,,District,District
6419-100,Whitefish Bay High,1200 E Fairmount Ave,Whitefish Bay WI  53217-6099,Whitefish Bay,53217,Significantly Exceeds Expectations,90.4,924,High School,7.7,1.9,0.3,9,12,98,49.6,48.4,,,,79.3,,,79.3,97.6,97.6,,,,Public school,No,,,District,District
6419-29,Whitefish Bay Middle,1144 E Henry Clay St,Whitefish Bay WI  53217-5716,Whitefish Bay,53217,Significantly Exceeds Expectations,92.9,713,Middle School,7.2,2.9,1.1,6,8,95,49.2,45.8,74.6,36.8,37.8,90.1,50,40.1,,95.4,,76.3,,19.1,Public school,No,,,District,District
3619-397,Whitman Elementary,4200 S 54th St,Milwaukee WI  53220-3111,Milwaukee,53220,Exceeds Expectations,78.9,415,Elementary School,22.2,75.4,2.2,K3,8,59.1,30.8,28.3,78.4,40.6,37.8,76.3,37.9,38.4,,86.2,,75.3,6.6,4.3,Public school,No,,,District,District
6244-290,Whitman Middle,11100 W Center St,Wauwatosa WI  53222-4286,Wauwatosa,53222,Exceeds Expectations,75.1,709,Middle School,10.4,25.5,1.1,6,8,72,38,34.1,84.1,40.6,43.5,57.1,36.2,20.9,,90.2,,75.9,,14.3,Public school,No,,,District,District
6470-100,Whitnall High,5000 S 116th St,Greenfield WI  53228-3197,Greenfield,53228,Exceeds Expectations,74.2,825,High School,13.7,18.9,0.6,9,12,67.3,35.4,32,,,,68.8,14,18.6,36.2,98.8,98.8,,,,Public school,No,,,District,District
6470-120,Whitnall Middle,5025 S 116th St,Greenfield WI  53228-3198,Greenfield,53228,Meets Expectations,71.3,570,Middle School,12.5,21.1,2.3,6,8,68.8,34.2,34.6,45.1,14,31.1,72.2,36.7,35.5,,90.2,,75.3,,14.9,Public school,No,,,District,District
3619-398,Whittier Elementary,4382 S 3rd St,Milwaukee WI  53207-4968,Milwaukee,53207,Significantly Exceeds Expectations,97.9,218,Elementary School,8.7,49.1,0.9,K3,5,94.7,47.4,47.3,100,50,50,100,50,50,,94.8,,75.9,18.9,,Public school,No,,,District,District
3619-424,WHS Information Technology,2525 N Sherman Blvd,Milwaukee WI  53210-2949,Milwaukee,53210,Fails to Meet Expectations,26.1,662,High School,24.9,86.4,6.9,9,12,9.4,6.8,2.6,,,,53.9,11.3,17.4,25.2,54.1,54.1,,,,Public school,No,,,District,District
5026-80,Willow Glen Primary School,2600 E Bolivar Ave,Saint Francis WI  53235-5843,Saint Francis,53235,Exceeds Expectations,81,255,Elementary School,14.1,40.4,8.6,K4,3,77.7,39.1,38.6,,,,78.2,46.8,31.4,,90.3,,74.7,15.6,,Public school,No,,,District,District
6300-480,Wilson Elementary,8710 W Orchard St,West Allis WI  53214-4399,West Allis,53214,Meets Expectations,70.1,456,Elementary School,9,54.8,1.3,K4,5,68.5,35,33.5,59.4,33,26.4,67.2,34.8,32.4,,90.1,,75.2,14.9,,Public school,No,,,District,District
6244-300,Wilson Elementary,1060 N Glenview Ave,Wauwatosa WI  53213-3097,Wauwatosa,53213,Exceeds Expectations,77.2,144,Elementary School,8.3,22.2,4.9,K4,5,88.3,43.6,44.7,68.9,32.1,36.8,53.2,30.3,22.9,,91.8,,75.9,15.9,,Public school,No,,,District,District
3619-399,Wisconsin Conservatory of Lifelong Learning,1017 N 12th St,Milwaukee WI  53233-1307,Milwaukee,53233,Fails to Meet Expectations,32.5,548,Elementary/Secondary School,30.5,93.1,1.5,K3,12,13.3,8.6,4.7,28,12.1,15.9,46.8,12.2,15.7,18.9,50.2,47.6,,1.7,0.9,Public school,No,,,District,District
NA-8720,Wisconsin Lutheran High School,330 N. Glenview Avenue,"Milwaukee, WI 53213",Milwaukee,53213,Meets Expectations,66.8,778,High School,0.5,43.3,6.8,9,12,60,28.7,31.3,,,,,,,,94.1,,94.1,,,Private school,No,,,Private,Private
8113-8728,Woodlands School,5510 W Bluemound Rd,Milwaukee WI  53208-3012,Milwaukee,53208,Exceeds Expectations,80.7,351,Elementary School,8.5,17.1,0,K4,8,74.6,41.4,33.2,73.6,44.4,29.2,83.5,45.6,37.9,,90.6,,76.8,7.6,6.2,Non District Charter Schools,Yes,2R,UW-Milwaukee,Autonomous charter,Non-District Charter
8132-100,Woodlands School East,3121 W State St,Milwaukee WI  53208-3494,Milwaukee,53208,Meets Few Expectations,55.6,249,Elementary School,9.2,59,0.8,K4,8,31.4,18.7,12.7,49.9,29.2,20.7,,,,,82.7,,74.8,7.9,,Non District Charter Schools,Yes,2R,UW-Milwaukee,Autonomous charter,Non-District Charter
NA-320,Word of Life Lutheran School,3545 S. 23rd Street,"Milwaukee, WI 53221",Milwaukee,53221,Meets Expectations,72.8,77,Elementary School,3.9,93.5,6.5,K4,8,37.6,18.5,19.1,71.7,31.1,40.6,,,,,86.5,,80,6.5,,Private school,No,,,Private,Private
NA-8740,Yeshiva Elementary School,5115 W. Keefe Avenue,"Milwaukee, WI 53216",Milwaukee,53216,Meets Expectations,68.3,212,Elementary School,0,53.8,0,K4,8,70.8,36.5,34.3,58.4,27.3,31.1,,,,,88.9,,77.2,7,4.7,Private school,No,,,Private,Private
3619-295,Zablocki Elementary,1016 W Oklahoma Ave,Milwaukee WI  53215-4746,Milwaukee,53215,Meets Few Expectations,61.5,434,Elementary School,24.2,93.5,16.8,K3,5,32.2,17,15.2,49.9,25.4,24.5,70.4,33.4,37,,79.5,,73.1,6.4,,Public school,No,,,District,District
